12-22-2024 14:15:52 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  E:\Learnings\Testing\Selenium\OpenCartV01\Master.xml

2024-12-22 14:18:39 INFO  Utils:112 - [TestNG] Running:
  E:\Learnings\Testing\Selenium\OpenCartV01\Master.xml

2024-12-22 14:18:43 INFO  BaseClass:15 - **** Starting TC_001_AccountRegistrationTest ****
2024-12-22 14:18:43 INFO  BaseClass:22 - **** Clicked on MyAccount ****
2024-12-22 14:18:44 INFO  BaseClass:24 - **** Clicked on Register ****
2024-12-22 14:18:44 INFO  BaseClass:26 - **** Entering Details ****
2024-12-22 14:18:46 INFO  BaseClass:37 - **** Clicking Continue****
2024-12-22 14:18:47 INFO  BaseClass:40 - **** Validating Error Message****
2024-12-22 14:18:47 INFO  BaseClass:43 - ---- TC_001_AccountRegistrationTest Passed ----
2024-12-22 14:18:47 INFO  BaseClass:54 - **** Finished TC_001_AccountRegistrationTest ****
2024-12-22 14:18:50 INFO  BaseClass:17 - **** Starting TC_002_LoginTest ****
2024-12-22 14:18:50 INFO  BaseClass:22 - **** Clicked on My Account ****
2024-12-22 14:18:50 INFO  BaseClass:24 - **** Clicked on Login ****
2024-12-22 14:18:50 INFO  BaseClass:27 - **** Entering login details ****
2024-12-22 14:18:51 INFO  BaseClass:30 - **** Clicking login ****
2024-12-22 14:18:52 INFO  BaseClass:33 - **** Verifying the login message ****
2024-12-22 14:18:52 INFO  BaseClass:36 - **** TC_002_LoginTest Passed ****
2024-12-22 14:18:52 INFO  BaseClass:46 - **** Finished TC_002_LoginTest ****
2024-12-22 14:23:14 INFO  Utils:112 - [TestNG] Running:
  E:\Learnings\Testing\Selenium\OpenCartV01\ParallelTesting.xml

2024-12-22 14:23:18 INFO  BaseClass:15 - **** Starting TC_001_AccountRegistrationTest ****
2024-12-22 14:23:18 INFO  BaseClass:22 - **** Clicked on MyAccount ****
2024-12-22 14:23:19 INFO  BaseClass:24 - **** Clicked on Register ****
2024-12-22 14:23:19 INFO  BaseClass:26 - **** Entering Details ****
2024-12-22 14:23:20 INFO  BaseClass:37 - **** Clicking Continue****
2024-12-22 14:23:21 INFO  BaseClass:40 - **** Validating Error Message****
2024-12-22 14:23:22 INFO  BaseClass:43 - ---- TC_001_AccountRegistrationTest Passed ----
2024-12-22 14:23:22 INFO  BaseClass:54 - **** Finished TC_001_AccountRegistrationTest ****
2024-12-22 14:23:24 INFO  BaseClass:15 - **** Starting TC_001_AccountRegistrationTest ****
2024-12-22 14:23:24 INFO  BaseClass:22 - **** Clicked on MyAccount ****
2024-12-22 14:23:25 INFO  BaseClass:17 - **** Starting TC_002_LoginTest ****
2024-12-22 14:23:25 INFO  BaseClass:22 - **** Clicked on My Account ****
2024-12-22 14:23:25 INFO  BaseClass:24 - **** Clicked on Login ****
2024-12-22 14:23:25 INFO  BaseClass:24 - **** Clicked on Register ****
2024-12-22 14:23:25 INFO  BaseClass:26 - **** Entering Details ****
2024-12-22 14:23:25 INFO  BaseClass:27 - **** Entering login details ****
2024-12-22 14:23:26 INFO  BaseClass:30 - **** Clicking login ****
2024-12-22 14:23:26 INFO  BaseClass:37 - **** Clicking Continue****
2024-12-22 14:23:27 INFO  BaseClass:33 - **** Verifying the login message ****
2024-12-22 14:23:27 INFO  BaseClass:40 - **** Validating Error Message****
2024-12-22 14:23:27 INFO  BaseClass:36 - **** TC_002_LoginTest Passed ****
2024-12-22 14:23:27 INFO  BaseClass:46 - **** Finished TC_002_LoginTest ****
2024-12-22 14:23:27 INFO  BaseClass:43 - ---- TC_001_AccountRegistrationTest Passed ----
2024-12-22 14:23:27 INFO  BaseClass:54 - **** Finished TC_001_AccountRegistrationTest ****
2024-12-22 14:23:36 INFO  BaseClass:17 - **** Starting TC_002_LoginTest ****
2024-12-22 14:23:36 INFO  BaseClass:22 - **** Clicked on My Account ****
2024-12-22 14:23:36 INFO  BaseClass:24 - **** Clicked on Login ****
2024-12-22 14:23:36 INFO  BaseClass:27 - **** Entering login details ****
2024-12-22 14:23:36 INFO  BaseClass:30 - **** Clicking login ****
2024-12-22 14:23:37 INFO  BaseClass:33 - **** Verifying the login message ****
2024-12-22 14:23:37 INFO  BaseClass:36 - **** TC_002_LoginTest Passed ****
2024-12-22 14:23:37 INFO  BaseClass:46 - **** Finished TC_002_LoginTest ****
